Rank,Release Group,Worldwide,Domestic,%,Foreign,%
152,Stuber,"$32,390,945","$22,370,452",69.1%,"$10,020,493",30.9%
153,Hit Me Anyone One More Time!,"$32,333,512",-,-,"$32,333,512",100%
154,Somewhere Winter,"$32,218,990",-,-,"$32,218,990",100%
155,The Kid Who Would Be King,"$32,140,970","$16,790,790",52.2%,"$15,350,180",47.8%
156,Two Tigers,"$32,001,580",-,-,"$32,001,580",100%
157,Anna,"$31,626,978","$7,743,794",24.5%,"$23,883,184",75.5%
158,My Dear Liar,"$31,177,968","$90,545",0.3%,"$31,087,423",99.7%
159,The Wild Goose Lake,"$31,064,835","$12,573",<0.1%,"$31,052,262",100%
160,My Hero Academia: Heroes Rising,"$29,971,229","$13,304,000",44.4%,"$16,667,229",55.6%
161,Fall In Love At First Kiss,"$29,206,238",-,-,"$29,206,238",100%
162,Gully Boy,"$28,299,498","$5,566,534",19.7%,"$22,732,964",80.3%
163,Kim Ji-young: Born 1982,"$27,696,393",-,-,"$27,696,393",100%
164,Pokémon: Mewtwo Strikes Back - Evolution,"$27,347,118",-,-,"$27,347,118",100%
165,Almost a Comedy,"$26,990,962",-,-,"$26,990,962",100%
166,Total Dhamaal,"$26,911,995","$2,167,632",8.1%,"$24,744,363",91.9%
167,Missing Link,"$26,565,710","$16,649,539",62.7%,"$9,916,171",37.3%
168,No Manches Frida 2,"$26,493,648","$9,270,920",35%,"$17,222,728",65%
169,The Confidence Man JP,"$26,228,317",-,-,"$26,228,317",100%
170,Confidence man JP the movie,"$25,958,189",-,-,"$25,958,189",100%
171,"The Gangster, the Cop, the Devil","$25,775,371","$216,494",0.8%,"$25,558,877",99.2%
172,Bodies at Rest,"$25,293,853",-,-,"$25,293,853",100%
173,Booksmart,"$24,959,607","$22,680,962",90.9%,"$2,278,645",9.1%
174,Super 30,"$24,701,637","$2,269,878",9.2%,"$22,431,759",90.8%
175,Skyfire,"$24,444,590","$1,105",<0.1%,"$24,443,485",100%
176,Start-Up,"$24,106,579",-,-,"$24,106,579",100%
177,Pinocchio,"$23,841,090","$1,831,718",7.7%,"$22,009,372",92.3%
178,A Rainy Day in New York,"$23,805,899",-,-,"$23,805,899",100%
179,The Peanut Butter Falcon,"$23,712,090","$20,457,151",86.3%,"$3,254,939",13.7%
180,Little White Lies 2,"$23,623,665",-,-,"$23,623,665",100%
181,Ossan's Love: Love or Dead,"$23,422,744",-,-,"$23,422,744",100%
182,Only Cloud Knows,"$23,414,998",-,-,"$23,414,998",100%
183,Dark Waters,"$23,108,017","$11,136,084",48.2%,"$11,971,933",51.8%
184,The Farewell,"$23,076,657","$17,695,781",76.7%,"$5,380,876",23.3%
185,The Knight of Shadows: Between Yin and Yang,"$22,774,256",-,-,"$22,774,256",100%
186,Black and Blue,"$22,741,061","$22,055,313",97%,"$685,748",3%
187,Late Night,"$22,386,555","$15,499,454",69.2%,"$6,887,101",30.8%
188,Les Misérables,"$22,342,519","$330,181",1.5%,"$22,012,338",98.5%
189,Crazy Romance,"$21,386,368",-,-,"$21,386,368",100%
190,Shaft,"$21,360,215","$21,360,215",100%,-,-
191,Unplanned,"$21,354,152","$19,005,109",89%,"$2,349,043",11%
192,Hotel Mumbai,"$21,314,816","$9,651,611",45.3%,"$11,663,205",54.7%
193,Integrity,"$21,290,004",-,-,"$21,290,004",100%
194,The Secret Mission,"$21,083,522",-,-,"$21,083,522",100%
195,This Is Tomas,"$20,084,169",-,-,"$20,084,169",100%
196,The Specials,"$19,363,826",-,-,"$19,363,826",100%
197,Always Miss You,"$19,015,465","$91,884",0.5%,"$18,923,581",99.5%
198,An Officer and a Spy,"$18,899,214",-,-,"$18,899,214",100%
199,Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi,"$18,738,951",-,-,"$18,738,951",100%
200,Greta,"$18,653,107","$10,532,219",56.5%,"$8,120,888",43.5%
1,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%
2,Black Panther,"$1,346,913,161","$700,059,566",52%,"$646,853,595",48%
3,Jurassic World: Fallen Kingdom,"$1,308,467,944","$417,719,760",31.9%,"$890,748,184",68.1%
4,Incredibles 2,"$1,242,805,359","$608,581,744",49%,"$634,223,615",51%
5,Aquaman,"$1,148,461,807","$335,061,807",29.2%,"$813,400,000",70.8%
6,Bohemian Rhapsody,"$903,655,259","$216,428,042",24%,"$687,227,217",76%
7,Venom,"$856,085,151","$213,515,506",24.9%,"$642,569,645",75.1%
8,Mission: Impossible - Fallout,"$791,115,104","$220,159,104",27.8%,"$570,956,000",72.2%
9,Deadpool 2,"$734,546,611","$318,491,426",43.4%,"$416,055,185",56.6%
10,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901","$159,555,901",24.4%,"$495,300,000",75.6%
11,Ant-Man and the Wasp,"$622,674,139","$216,648,740",34.8%,"$406,025,399",65.2%
12,Ready Player One,"$582,890,172","$137,690,172",23.6%,"$445,200,000",76.4%
13,Operation Red Sea,"$579,330,426","$1,543,547",0.3%,"$577,786,879",99.7%
14,Detective Chinatown 2,"$544,185,156","$1,983,984",0.4%,"$542,201,172",99.6%
15,The Meg,"$530,243,742","$145,443,742",27.4%,"$384,800,000",72.6%
16,Ralph Breaks the Internet,"$529,323,962","$201,091,711",38%,"$328,232,251",62%
17,Hotel Transylvania 3: Summer Vacation,"$528,583,774","$167,510,016",31.7%,"$361,073,758",68.3%
18,The Grinch,"$511,595,957","$270,620,950",52.9%,"$240,975,007",47.1%
19,Bumblebee,"$467,989,645","$127,195,589",27.2%,"$340,794,056",72.8%
20,Dying to Survive,"$451,176,639",-,-,"$451,176,639",100%
21,A Star Is Born,"$436,188,866","$215,288,866",49.4%,"$220,900,000",50.6%
22,Rampage,"$428,028,233","$101,028,233",23.6%,"$327,000,000",76.4%
23,Mamma Mia! Here We Go Again,"$395,044,706","$120,634,935",30.5%,"$274,409,771",69.5%
24,Solo: A Star Wars Story,"$392,924,807","$213,767,512",54.4%,"$179,157,295",45.6%
25,Spider-Man: Into the Spider-Verse,"$375,540,831","$190,241,310",50.7%,"$185,299,521",49.3%
26,Fifty Shades Freed,"$371,985,018","$100,407,760",27%,"$271,577,258",73%
27,Hello Mr. Billionaire,"$366,961,907",-,-,"$366,961,907",100%
28,The Nun,"$365,550,119","$117,450,119",32.1%,"$248,100,000",67.9%
29,Monster Hunt 2,"$361,682,618","$706,153",0.2%,"$360,976,465",99.8%
30,Peter Rabbit,"$351,266,433","$115,253,424",32.8%,"$236,013,009",67.2%
31,Mary Poppins Returns,"$349,537,494","$171,958,438",49.2%,"$177,579,056",50.8%
32,A Quiet Place,"$340,939,361","$188,024,361",55.1%,"$152,915,000",44.9%
33,Green Book,"$321,752,656","$85,080,171",26.4%,"$236,672,485",73.6%
34,Skyscraper,"$304,868,961","$68,420,120",22.4%,"$236,448,841",77.6%
35,Ocean's Eight,"$297,718,711","$140,218,711",47.1%,"$157,500,000",52.9%
36,Pacific Rim: Uprising,"$290,930,148","$59,874,525",20.6%,"$231,055,623",79.4%
37,Maze Runner: The Death Cure,"$288,175,335","$58,032,443",20.1%,"$230,142,892",79.9%
38,Tomb Raider,"$274,650,803","$58,250,803",21.2%,"$216,400,000",78.8%
39,Halloween,"$255,485,178","$159,342,015",62.4%,"$96,143,163",37.6%
40,Crazy Rich Asians,"$238,532,921","$174,532,921",73.2%,"$64,000,000",26.8%
41,Creed II,"$214,215,889","$115,715,889",54%,"$98,500,000",46%
42,Smallfoot,"$214,040,103","$83,240,103",38.9%,"$130,800,000",61.1%
43,Us and Them,"$209,221,380",-,-,"$209,221,380",100%
44,The Island,"$198,326,350","$670,883",0.3%,"$197,655,467",99.7%
45,Christopher Robin,"$197,744,377","$99,215,042",50.2%,"$98,529,335",49.8%
46,The Equalizer 2,"$190,400,157","$102,084,362",53.6%,"$88,315,795",46.4%
47,Project Gutenberg,"$188,116,796",-,-,"$188,116,796",100%
48,The Mule,"$174,804,407","$103,804,407",59.4%,"$71,000,000",40.6%
49,The Nutcracker and the Four Realms,"$173,961,069","$54,858,851",31.5%,"$119,102,218",68.5%
50,Insidious: The Last Key,"$167,885,588","$67,745,330",40.4%,"$100,140,258",59.6%
51,The Predator,"$160,542,134","$51,024,708",31.8%,"$109,517,426",68.2%
52,Johnny English Strikes Again,"$158,970,776","$4,412,170",2.8%,"$154,558,606",97.2%
53,Red Sparrow,"$151,572,634","$46,874,505",30.9%,"$104,698,129",69.1%
54,More Than Blue,"$142,958,164","$722,669",0.5%,"$142,235,495",99.5%
55,The First Purge,"$137,056,262","$69,488,745",50.7%,"$67,567,517",49.3%
56,How Long Will I Love U,"$136,796,719","$746,933",0.5%,"$136,049,786",99.5%
57,A Wrinkle in Time,"$132,675,864","$100,478,608",75.7%,"$32,197,256",24.3%
58,The House with a Clock in Its Walls,"$131,457,147","$68,549,695",52.1%,"$62,907,452",47.9%
59,Instant Family,"$120,556,201","$67,363,237",55.9%,"$53,192,964",44.1%
60,A Cool Fish,"$118,153,135","$551,876",0.5%,"$117,601,259",99.5%
61,Game Night,"$117,679,066","$69,179,066",58.8%,"$48,500,000",41.2%
62,Dragon Ball Super: Broly,"$115,757,940","$30,712,119",26.5%,"$85,045,821",73.5%
63,The Monkey King 3,"$115,084,576","$187,074",0.2%,"$114,897,502",99.8%
64,First Man,"$105,697,415","$44,936,545",42.5%,"$60,760,870",57.5%
65,Book Club,"$104,438,188","$68,566,296",65.7%,"$35,871,892",34.3%
66,Night School,"$103,105,878","$77,339,130",75%,"$25,766,748",25%
67,Detective Conan: Zero the Enforcer,"$101,860,359",-,-,"$101,860,359",100%
68,Alpha,"$99,630,675","$35,857,181",36%,"$63,773,494",64%
69,Along With the Gods: The Last 49 Days,"$97,962,238","$1,200,246",1.2%,"$96,761,992",98.8%
70,A Simple Favor,"$97,644,617","$53,548,586",54.8%,"$44,096,031",45.2%
71,Boonie Bears: The Big Shrink,"$96,845,907",-,-,"$96,845,907",100%
72,The Favourite,"$95,918,706","$34,366,783",35.8%,"$61,551,923",64.2%
73,Truth or Dare,"$95,330,493","$41,411,015",43.4%,"$53,919,478",56.6%
74,Kill Mobile,"$94,870,905",-,-,"$94,870,905",100%
75,I Feel Pretty,"$94,539,426","$48,795,601",51.6%,"$45,743,825",48.4%
76,Blockers,"$94,017,294","$60,311,495",64.1%,"$33,705,799",35.9%
77,BlacKkKlansman,"$93,400,823","$49,275,340",52.8%,"$44,125,483",47.2%
78,Goosebumps 2: Slappy's Revenge,"$93,320,380","$46,700,633",50%,"$46,619,747",50%
79,Shadow,"$91,708,374","$521,396",0.6%,"$91,186,978",99.4%
80,Overboard,"$91,244,913","$50,316,123",55.1%,"$40,928,790",44.9%
81,Sherlock Gnomes,"$90,497,778","$43,242,871",47.8%,"$47,254,907",52.2%
82,Detective Dee: The Four Heavenly Kings,"$90,040,771","$262,963",0.3%,"$89,777,808",99.7%
83,"Hello, Mrs. Money","$86,874,070",-,-,"$86,874,070",100%
84,Robin Hood,"$86,489,031","$30,824,628",35.6%,"$55,664,403",64.4%
85,I Can Only Imagine,"$86,086,881","$83,482,352",97%,"$2,604,529",3%
86,Hidden Man,"$85,170,581",-,-,"$85,170,581",100%
87,Mortal Engines,"$83,672,673","$15,951,040",19.1%,"$67,721,633",80.9%
88,iPartment the Movie,"$81,096,321",-,-,"$81,096,321",100%
89,Doraemon the Movie: Nobita's Treasure Island,"$80,920,916",-,-,"$80,920,916",100%
90,Den of Thieves,"$80,509,622","$44,947,622",55.8%,"$35,562,000",44.2%
91,Hereditary,"$80,200,936","$44,069,456",54.9%,"$36,131,480",45.1%
92,Code Blue: The Movie,"$78,778,562",-,-,"$78,778,562",100%
93,Tag,"$78,130,625","$54,730,625",70.1%,"$23,400,000",29.9%
94,Sanju,"$76,693,052","$7,909,317",10.3%,"$68,783,735",89.7%
95,Vice,"$76,073,488","$47,836,282",62.9%,"$28,237,206",37.1%
96,Widows,"$75,984,700","$42,402,632",55.8%,"$33,582,068",44.2%
97,Sicario: Day of the Soldado,"$75,837,743","$50,072,235",66%,"$25,765,508",34%
98,Searching,"$75,462,037","$26,020,957",34.5%,"$49,441,080",65.5%
99,The Spy Who Dumped Me,"$75,320,680","$33,562,069",44.6%,"$41,758,611",55.4%
100,Animal World,"$74,922,830",-,-,"$74,922,830",100%
101,Amazing China,"$72,506,343",-,-,"$72,506,343",100%
102,Second Act,"$72,282,227","$39,282,227",54.3%,"$33,000,000",45.7%
103,Spirited Away 2018 Re-release,"$70,186,029","$1,175,067",1.7%,"$69,010,962",98.3%
104,Shoplifters,"$67,999,335","$3,313,513",4.9%,"$64,685,822",95.1%
105,12 Strong,"$67,450,815","$45,819,713",67.9%,"$21,631,102",32.1%
106,"Love, Simon","$66,316,289","$40,826,341",61.6%,"$25,489,948",38.4%
107,Mile 22,"$66,308,758","$36,108,758",54.5%,"$30,200,000",45.5%
108,Life of the Party,"$65,859,911","$53,059,911",80.6%,"$12,800,000",19.4%
109,L Storm,"$64,517,456",-,-,"$64,517,456",100%
110,Capernaum,"$64,417,003","$1,661,096",2.6%,"$62,755,907",97.4%
111,Isle of Dogs,"$64,241,499","$32,015,231",49.8%,"$32,226,268",50.2%
112,Andhadhun,"$62,475,342","$1,193,046",1.9%,"$61,282,296",98.1%
113,Adrift,"$59,945,012","$31,445,012",52.5%,"$28,500,000",47.5%
114,The 15:17 to Paris,"$57,076,286","$36,276,286",63.6%,"$20,800,000",36.4%
115,A or B,"$56,239,049",-,-,"$56,239,049",100%
116,Go Brother!,"$54,663,060",-,-,"$54,663,060",100%
117,Early Man,"$54,622,814","$8,267,544",15.1%,"$46,355,270",84.9%
118,Peppermint,"$53,918,723","$35,418,723",65.7%,"$18,500,000",34.3%
119,Teen Titans GO! To the Movies,"$52,090,236","$29,790,236",57.2%,"$22,300,000",42.8%
120,Slender Man,"$51,738,549","$30,569,484",59.1%,"$21,169,065",40.9%
121,Breaking In,"$51,411,620","$46,840,590",91.1%,"$4,571,030",8.9%
122,Cry Me a Sad River,"$51,400,614",-,-,"$51,400,614",100%
123,Once Upon a Deadpool 2018 Re-release,"$51,349,833","$6,100,309",11.9%,"$45,249,524",88.1%
124,Simmba,"$51,329,025","$5,102,129",9.9%,"$46,226,896",90.1%
125,Family is Family,"$49,954,866",-,-,"$49,954,866",100%
126,Death Wish,"$49,562,710","$34,017,028",68.6%,"$15,545,682",31.4%
127,The Magic Tuche,"$47,427,990",-,-,"$47,427,990",100%
128,Golden Job,"$47,287,851","$285,795",0.6%,"$47,002,056",99.4%
129,Mary Queen of Scots,"$46,712,809","$16,468,499",35.3%,"$30,244,310",64.7%
130,Uncle Drew,"$46,664,414","$42,469,946",91%,"$4,194,468",9%
131,Acrimony,"$46,403,669","$43,549,096",93.8%,"$2,854,573",6.2%
132,Asterix: The Secret of the Magic Potion,"$45,972,321","$1,271,953",2.8%,"$44,700,368",97.2%
133,Bajrangi Bhaijaan 2018 Re-release,"$45,579,004",-,-,"$45,579,004",100%
134,Winchester,"$44,019,588","$25,091,816",57%,"$18,927,772",43%
135,Annihilation,"$43,070,915","$32,732,301",76%,"$10,338,614",24%
136,The Possession of Hannah Grace,"$43,016,528","$14,837,422",34.5%,"$28,179,106",65.5%
137,Long Day's Journey Into Night,"$42,140,994","$521,365",1.2%,"$41,619,629",98.8%
138,Overlord,"$41,657,844","$21,704,844",52.1%,"$19,953,000",47.9%
139,The Great Battle,"$41,509,280","$472,166",1.1%,"$41,037,114",98.9%
140,The Darkest Minds,"$41,142,379","$12,695,691",30.9%,"$28,446,688",69.1%
141,"Lost, Found","$41,043,552",-,-,"$41,043,552",100%
142,Holmes & Watson,"$40,466,970","$30,573,626",75.6%,"$9,893,344",24.4%
143,Intimate Strangers,"$39,576,060",-,-,"$39,576,060",100%
144,Thugs of Hindostan,"$39,570,044","$1,449,848",3.7%,"$38,120,196",96.3%
145,Sink or Swim,"$39,193,850",-,-,"$39,193,850",100%
146,Show Dogs,"$39,156,854","$17,857,020",45.6%,"$21,299,834",54.4%
147,Believer,"$39,047,153","$365,639",0.9%,"$38,681,514",99.1%
148,The Spy Gone North,"$38,844,509","$500,803",1.3%,"$38,343,706",98.7%
149,On the Basis of Sex,"$38,673,750","$24,622,687",63.7%,"$14,051,063",36.3%
150,Taxi 5,"$38,598,227",-,-,"$38,598,227",100%
151,Fat Buddies,"$37,496,410",-,-,"$37,496,410",100%
152,Till The End Of The World,"$37,013,733","$118,660",0.3%,"$36,895,073",99.7%
153,2.0,"$36,945,969","$4,152,000",11.2%,"$32,793,969",88.8%
154,Nothing to Lose,"$36,075,317","$1,016,188",2.8%,"$35,059,129",97.2%
155,Mia and the White Lion,"$35,487,190","$399,471",1.1%,"$35,087,719",98.9%
156,The Girl in the Spider's Web,"$35,164,920","$14,841,338",42.2%,"$20,323,582",57.8%
157,The Hate U Give,"$34,934,009","$29,719,483",85.1%,"$5,214,526",14.9%
158,Nobody's Fool,"$33,705,333","$31,713,110",94.1%,"$1,992,223",5.9%
159,Baaghi 2,"$33,139,063","$1,319,579",4%,"$31,819,484",96%
160,The Hurricane Heist,"$32,517,248","$6,115,825",18.8%,"$26,401,423",81.2%
161,All About Me,"$31,920,159",-,-,"$31,920,159",100%
162,Bad Times at the El Royale,"$31,882,724","$17,839,115",56%,"$14,043,609",44%
163,Beautiful Boy,"$31,711,319","$7,649,973",24.1%,"$24,061,346",75.9%
164,Hunter Killer,"$31,672,678","$15,767,460",49.8%,"$15,905,218",50.2%
165,Super Troopers 2,"$31,626,386","$30,617,396",96.8%,"$1,008,990",3.2%
166,The Strangers: Prey at Night,"$31,039,126","$24,586,708",79.2%,"$6,452,418",20.8%
167,Gintama 2: Rules are Made to be Broken,"$30,896,653",-,-,"$30,896,653",100%
168,The Way of the Bug,"$30,355,804",-,-,"$30,355,804",100%
169,Clergy,"$30,114,115",-,-,"$30,114,115",100%
170,Ice,"$29,806,210",-,-,"$29,806,210",100%
171,Free Solo,"$29,390,279","$17,541,090",59.7%,"$11,849,189",40.3%
172,Dark Figure of Crime,"$29,176,133",-,-,"$29,176,133",100%
173,Pad Man,"$29,045,020","$1,670,192",5.8%,"$27,374,828",94.2%
174,Mirai,"$28,756,961","$812,794",2.8%,"$27,944,167",97.2%
175,Default,"$27,694,043","$203,775",0.7%,"$27,490,268",99.3%
176,One Cut of the Dead,"$27,590,180","$52,406",0.2%,"$27,537,774",99.8%
177,The Happytime Murders,"$27,506,452","$20,706,452",75.3%,"$6,800,000",24.7%
178,Midnight Sun,"$27,365,467","$9,561,064",34.9%,"$17,804,403",65.1%
179,VIP Policeman,"$27,222,681",-,-,"$27,222,681",100%
180,My Neighbor Totoro 2018 Re-release,"$27,083,857","$1,144,649",4.2%,"$25,939,208",95.8%
181,The Faces of My Gene,"$26,796,279",-,-,"$26,796,279",100%
182,Badhaai Ho,"$26,125,610",-,-,"$26,125,610",100%
183,Hichki,"$26,055,222","$330,279",1.3%,"$25,724,943",98.7%
184,White Boy Rick,"$25,957,482","$24,011,188",92.5%,"$1,946,294",7.5%
185,"Paul, Apostle of Christ","$25,915,966","$17,560,475",67.8%,"$8,355,491",32.2%
186,Champions,"$25,766,564",-,-,"$25,766,564",100%
187,Keys To The Heart,"$25,375,866","$75,134",0.3%,"$25,300,732",99.7%
188,Stan & Ollie,"$24,420,923","$5,470,235",22.4%,"$18,950,688",77.6%
189,The Witch: Part 1 - The Subversion,"$24,340,302",-,-,"$24,340,302",100%
190,The Accidental Detective 2: In Action,"$24,243,825","$179,045",0.7%,"$24,064,780",99.3%
191,Killing for the Prosecution,"$23,929,620",-,-,"$23,929,620",100%
192,Pokémon the Movie: The Power of Us,"$23,740,788","$789,170",3.3%,"$22,951,618",96.7%
193,The Guernsey Literary and Potato Peel Pie Society,"$23,148,937",-,-,"$23,148,937",100%
194,The Crimes That Bind,"$23,144,130",-,-,"$23,144,130",100%
195,New Happy Dad and Son 3: Adventure in Russia,"$23,130,469",-,-,"$23,130,469",100%
196,Padmaavat,"$22,991,060","$11,846,060",51.5%,"$11,145,000",48.5%
197,Won't You Be My Neighbor?,"$22,844,741","$22,835,787",100%,"$8,954",<0.1%
198,Europe Raiders,"$22,435,156",-,-,"$22,435,156",100%
199,Mojin: The Worm Valley,"$22,381,583","$101,516",0.5%,"$22,280,067",99.5%
200,Stree,"$22,075,730",-,-,"$22,075,730",100%
1,Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889","$620,181,382",46.5%,"$712,358,507",53.5%
2,Beauty and the Beast,"$1,263,521,126","$504,014,165",39.9%,"$759,506,961",60.1%
3,The Fate of the Furious,"$1,236,005,118","$226,008,385",18.3%,"$1,009,996,733",81.7%
4,Despicable Me 3,"$1,034,799,409","$264,624,300",25.6%,"$770,175,109",74.4%
5,Jumanji: Welcome to the Jungle,"$962,077,546","$404,515,480",42%,"$557,562,066",58%
6,Spider-Man: Homecoming,"$880,166,924","$334,201,140",38%,"$545,965,784",62%
7,Wolf Warrior 2,"$870,325,439","$2,721,100",0.3%,"$867,604,339",99.7%
8,Guardians of the Galaxy Vol. 2,"$863,756,051","$389,813,101",45.1%,"$473,942,950",54.9%
9,Thor: Ragnarok,"$853,977,126","$315,058,289",36.9%,"$538,918,837",63.1%
10,Wonder Woman,"$821,847,012","$412,563,408",50.2%,"$409,283,604",49.8%
11,Coco,"$807,816,196","$210,460,015",26.1%,"$597,356,181",73.9%
12,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,861,794","$172,558,876",21.7%,"$622,302,918",78.3%
13,It,"$700,381,748","$327,481,748",46.8%,"$372,900,000",53.2%
14,Justice League,"$657,924,295","$229,024,295",34.8%,"$428,900,000",65.2%
15,Logan,"$619,021,436","$226,277,068",36.6%,"$392,744,368",63.4%
16,Transformers: The Last Knight,"$605,425,157","$130,168,683",21.5%,"$475,256,474",78.5%
17,Kong: Skull Island,"$566,652,812","$168,052,812",29.7%,"$398,600,000",70.3%
18,The Boss Baby,"$527,965,936","$175,003,033",33.1%,"$352,962,903",66.9%
19,Dunkirk,"$525,245,546","$188,045,546",35.8%,"$337,200,000",64.2%
20,War for the Planet of the Apes,"$490,719,763","$146,880,162",29.9%,"$343,839,601",70.1%
21,The Greatest Showman,"$434,993,183","$174,340,174",40.1%,"$260,653,009",59.9%
22,Kingsman: The Golden Circle,"$410,902,662","$100,234,838",24.4%,"$310,667,824",75.6%
23,The Mummy,"$409,231,607","$80,227,895",19.6%,"$329,003,712",80.4%
24,Cars 3,"$383,930,656","$152,901,115",39.8%,"$231,029,541",60.2%
25,Fifty Shades Darker,"$381,545,846","$114,581,250",30%,"$266,964,596",70%
26,Murder on the Orient Express,"$352,789,811","$102,826,543",29.1%,"$249,963,268",70.9%
27,xXx: Return of Xander Cage,"$346,118,277","$44,898,413",13%,"$301,219,864",87%
28,Never Say Die,"$334,530,869",-,-,"$334,530,869",100%
29,The Lego Batman Movie,"$311,950,384","$175,750,384",56.3%,"$136,200,000",43.7%
30,The Ex-File 3: The Return of The Exes,"$307,592,427","$838,959",0.3%,"$306,753,468",99.7%
31,Annabelle: Creation,"$306,515,884","$102,092,201",33.3%,"$204,423,683",66.7%
32,Wonder,"$305,937,718","$132,422,809",43.3%,"$173,514,909",56.7%
33,Ferdinand,"$296,069,199","$84,410,380",28.5%,"$211,658,819",71.5%
34,Split,"$278,454,358","$138,291,365",49.7%,"$140,162,993",50.3%
35,Blade Runner 2049,"$259,239,658","$92,054,159",35.5%,"$167,185,499",64.5%
36,Kung Fu Yoga,"$257,743,016","$362,657",0.1%,"$257,380,359",99.9%
37,Get Out,"$255,407,969","$176,040,665",68.9%,"$79,367,304",31.1%
38,Baahubali 2: The Conclusion,"$254,158,390","$20,186,659",7.9%,"$233,971,731",92.1%
39,Journey to the West: The Demons Strike Back,"$247,585,244","$880,346",0.4%,"$246,704,898",99.6%
40,Alien: Covenant,"$240,891,763","$74,262,031",30.8%,"$166,629,732",69.2%
41,Paddington 2,"$227,978,523","$40,891,591",17.9%,"$187,086,932",82.1%
42,Youth,"$227,091,290","$1,891,956",0.8%,"$225,199,334",99.2%
43,Baby Driver,"$226,945,087","$107,825,862",47.5%,"$119,119,225",52.5%
44,Valerian and the City of a Thousand Planets,"$225,874,228","$41,189,488",18.2%,"$184,684,740",81.8%
45,Geostorm,"$221,600,160","$33,700,160",15.2%,"$187,900,000",84.8%
46,The Emoji Movie,"$217,776,646","$86,089,513",39.5%,"$131,687,133",60.5%
47,A Dog's Purpose,"$205,035,819","$64,508,620",31.5%,"$140,527,199",68.5%
48,Smurfs: The Lost Village,"$197,183,546","$45,020,282",22.8%,"$152,163,264",77.2%
49,The Shape of Water,"$195,333,312","$63,859,435",32.7%,"$131,473,877",67.3%
50,Pitch Perfect 3,"$185,400,345","$104,897,530",56.6%,"$80,502,815",43.4%
51,The Hitman's Bodyguard,"$183,415,183","$75,468,583",41.1%,"$107,946,600",58.9%
52,Daddy's Home 2,"$180,613,180","$104,029,443",57.6%,"$76,583,737",42.4%
53,The Post,"$179,769,457","$81,903,458",45.6%,"$97,865,999",54.4%
54,Baywatch,"$177,856,751","$58,060,186",32.6%,"$119,796,565",67.4%
55,John Wick: Chapter 2,"$171,539,887","$92,029,184",53.6%,"$79,510,703",46.4%
56,Ghost in the Shell,"$169,801,921","$40,563,557",23.9%,"$129,238,364",76.1%
57,"Three Billboards Outside Ebbing, Missouri","$160,192,031","$54,513,740",34%,"$105,678,291",66%
58,Duckweed,"$152,894,264","$471,575",0.3%,"$152,422,689",99.7%
59,Darkest Hour,"$150,847,207","$56,468,410",37.4%,"$94,378,797",62.6%
60,King Arthur: Legend of the Sword,"$148,675,066","$39,175,066",26.3%,"$109,500,000",73.7%
61,The Foreigner,"$145,374,099","$34,393,507",23.7%,"$110,980,592",76.3%
62,Power Rangers,"$142,337,240","$85,364,450",60%,"$56,972,790",40%
63,Girls Trip,"$140,552,359","$115,171,585",81.9%,"$25,380,774",18.1%
64,American Made,"$134,866,593","$51,342,000",38.1%,"$83,524,593",61.9%
65,A Bad Moms Christmas,"$130,560,428","$72,110,659",55.2%,"$58,449,769",44.8%
66,Happy Death Day,"$125,479,266","$55,683,845",44.4%,"$69,795,421",55.6%
67,Captain Underpants: The First Epic Movie,"$125,427,681","$73,921,000",58.9%,"$51,506,681",41.1%
68,The Lego Ninjago Movie,"$123,081,555","$59,281,555",48.2%,"$63,800,000",51.8%
69,Secret Superstar,"$122,026,260",-,-,"$122,026,260",100%
70,The Commuter,"$119,942,387","$36,343,858",30.3%,"$83,598,529",69.7%
71,Forever Young,"$119,055,731",-,-,"$119,055,731",100%
72,The Dark Tower,"$113,231,078","$50,701,325",44.8%,"$62,529,753",55.2%
73,Buddies in India,"$110,155,128","$293,194",0.3%,"$109,861,934",99.7%
74,Along With the Gods: The Two Worlds,"$109,383,972","$1,908,823",1.7%,"$107,475,149",98.3%
75,Immortal Demon Slayer,"$103,818,506",-,-,"$103,818,506",100%
76,Jigsaw,"$102,952,888","$38,052,832",37%,"$64,900,056",63%
77,Life,"$100,541,806","$30,234,022",30.1%,"$70,307,784",69.9%
78,Atomic Blonde,"$100,014,025","$51,687,870",51.7%,"$48,326,155",48.3%
79,Legend of the Demon Cat,"$97,051,623",-,-,"$97,051,623",100%
80,The Shack,"$96,942,115","$57,386,418",59.2%,"$39,555,697",40.8%
81,Chasing the Dragon,"$87,965,942","$456,854",0.5%,"$87,509,088",99.5%
82,Tiger Zinda Hai,"$87,320,000","$5,560,921",6.4%,"$81,759,079",93.6%
83,A Taxi Driver,"$86,252,940","$1,527,829",1.8%,"$84,725,111",98.2%
84,Going in Style,"$84,918,541","$45,018,541",53%,"$39,900,000",47%
85,Rings,"$83,080,890","$27,793,018",33.5%,"$55,287,872",66.5%
